iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms,mpi_halo_exchange_ms,mpi_migration_ms,mpi_food_allreduce_ms,mpi_render_comm_ms,mpi_total_comm_ms
1,0,1.783305,1.452769,0.160649,0.025550,1.575344,57.140569,16.507581,86.855225,2.027707,1.714892,0.144948,9.485042,10.574027
2,0,0.018928,0.515196,0.047756,0.001303,0.552260,7.763120,15.583665,29.732236,0.164674,0.129536,0.015367,5.606375,5.903302
3,0,0.019355,0.999113,0.068873,0.001466,1.069452,5.800485,15.526600,30.588325,0.264861,0.645416,0.152257,7.733662,8.789061
4,0,0.023938,0.922534,0.325941,0.001796,1.036635,5.056173,13.868272,30.781881,0.257863,0.535442,0.286408,10.287413,11.025785
5,0,0.018117,0.988364,0.064147,0.001357,1.053868,8.382271,15.594531,29.923237,0.258106,0.719969,0.027118,4.575779,5.485404
6,0,0.050827,1.023183,0.114588,0.001831,1.139602,6.650931,16.479097,31.280632,0.295257,0.608287,0.168985,6.557485,7.535031
7,0,0.020565,1.029909,0.080662,0.001300,1.111871,7.926516,15.509951,30.083262,0.260590,0.720939,0.051668,5.227953,6.204762
8,0,0.020007,1.242361,0.085846,0.001373,1.314311,7.823908,15.446700,30.041331,0.244681,0.933360,0.042886,5.132464,6.267877
9,0,0.097386,0.993843,0.064802,0.001279,1.059924,9.207653,15.747196,30.657226,0.300921,0.710994,0.029784,4.280005,5.171683
10,0,0.024797,1.005809,0.105030,0.002096,1.112929,8.272807,15.824497,30.424912,0.321026,0.576662,0.062419,4.834893,5.318685
11,0,0.024060,0.898902,0.068643,0.001248,0.968717,8.869326,16.578409,31.027627,0.270085,0.513379,0.027382,4.298295,5.066764
12,0,0.019657,0.945660,0.091984,0.001297,1.038941,8.753520,15.563254,30.309392,0.268746,0.690915,0.036743,4.601184,5.494497
13,0,0.024176,0.513833,0.044462,0.001245,0.559239,9.164024,15.555750,30.156874,0.179203,0.156911,0.008901,4.655809,4.984045
14,0,0.025573,0.730135,0.100057,0.001149,0.831341,8.592285,15.601900,30.231129,0.347964,0.382465,0.045182,4.808105,5.159902
15,0,0.023487,0.726123,0.069967,0.001432,0.797522,6.308772,15.552725,30.587009,0.245265,0.337529,0.034492,7.626963,7.884686
16,0,0.020992,0.954087,0.091565,0.002040,1.047692,7.949777,15.736242,29.439991,0.320382,0.601040,0.059717,4.335900,5.302492
17,0,0.019951,0.510792,0.048914,0.001072,0.560714,9.740746,15.664284,30.760297,0.161069,0.141610,0.017289,4.593067,4.905045
18,0,0.023616,0.710405,0.041882,0.001095,0.748762,8.200871,15.882072,30.175200,0.196987,0.277994,0.012806,5.088814,5.565847
19,0,0.019186,1.001777,0.065445,0.001322,1.068544,9.262191,15.681184,30.887489,0.253841,0.774463,0.036313,4.483256,5.447809
20,0,0.020168,0.466563,0.042904,0.001097,0.507040,9.872293,15.707043,31.407927,0.185392,0.117558,0.012025,5.080387,5.388082
21,0,0.022850,0.830976,0.065834,0.002104,0.898338,9.494285,15.574971,30.647279,0.241807,0.478248,0.036246,4.392495,5.122527
22,0,0.028710,0.878495,0.077649,0.002263,0.958407,7.368692,15.918005,30.183449,0.363530,0.455882,0.039760,5.511568,5.887663
23,0,0.020312,0.997451,0.072988,0.001371,1.071810,8.710396,15.842184,30.697174,0.278126,0.661593,0.035156,4.740898,5.640421
24,0,0.023129,0.913514,0.056327,0.001162,0.971003,7.990874,16.571490,30.496032,0.318045,0.486717,0.024783,4.593501,5.361789
25,0,0.022182,0.524354,0.044746,0.001096,0.566204,8.307187,15.798276,29.816995,0.168265,0.170252,0.007495,4.931351,5.267465
26,0,0.020327,0.832802,0.086485,0.002237,0.920835,9.643685,15.589996,30.736918,0.248959,0.481541,0.048090,4.269236,5.028337
27,0,0.018555,0.544738,0.043091,0.001176,0.584408,9.527115,15.844947,30.912103,0.166509,0.155282,0.008965,4.736167,5.064024
28,0,0.028000,0.718335,0.067231,0.020595,0.783667,8.398537,15.545668,29.627473,0.322641,0.357188,0.029883,4.495846,5.122925
29,0,0.021813,0.530630,0.045664,0.001095,0.577389,6.574130,16.463739,30.894017,0.174383,0.082817,0.013167,7.066007,7.329629
30,0,0.021926,0.771227,0.041832,0.001158,0.814135,4.125147,15.630507,29.957492,0.236094,0.385092,0.011172,9.099578,9.726745
31,0,0.024015,0.726281,0.088689,0.001780,0.816750,8.023630,16.478862,31.108958,0.253395,0.334697,0.045559,5.483917,5.747248
32,0,0.029856,0.602396,0.037958,0.001055,0.639132,6.251045,15.492920,29.705695,0.257760,0.219916,0.004245,7.012696,7.454110
33,0,0.020999,0.921407,0.084379,0.002658,1.007597,9.068920,15.581226,30.548604,0.306679,0.490601,0.053665,4.531070,5.357766
34,0,0.021529,0.778424,0.056099,0.001231,0.835567,7.451822,15.638079,30.865414,0.272707,0.333754,0.027749,6.615675,6.898067
35,0,0.021246,0.494728,0.085387,0.001680,0.533029,9.454482,15.615199,30.360942,0.231437,0.240388,0.053393,4.357440,4.861098
