metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,1477,30.756296,0.020823,0.008441,1.361376
ants_advance,1477,3402.508233,2.303662,1.312128,6.349725
evaporation,1477,680.011765,0.460401,0.251961,1.469150
update,1477,12.023151,0.008140,0.003790,0.143764
advance_total,1477,4036.676383,2.733024,1.588612,6.807844
render,1477,16596.476526,11.236612,4.606366,33.637884
blit,1477,12790.720540,8.659933,0.494472,16.924533
iteration_total,1477,50033.111304,33.874821,27.715776,63.741116
mpi_halo_exchange,1477,138.188825,0.093560,0.047053,4.210045
mpi_migration,1477,1614.595744,1.093159,0.062292,4.283670
mpi_food_allreduce,1477,306.393836,0.207443,0.004233,1.200831
mpi_render_comm,1477,16062.653188,10.875188,8.050715,18.478093
mpi_total_comm,1477,17612.246967,11.924338,8.683670,21.756507

meta_key,meta_value
total_iterations,1477
measured_iterations,1477
final_food_quantity,0
first_food_iteration,not_reached
