iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms
1,0,1.130729,2.091765,0.516754,0.005552,2.614071,56.614338,15.881964,76.241882
2,0,0.019300,2.037268,0.365781,0.006200,2.409249,13.272993,15.543685,31.245739
3,0,0.020440,1.643519,0.366992,0.002746,2.013257,13.333893,15.574248,30.942380
4,0,0.021457,1.840831,0.377681,0.003345,2.221857,13.577297,15.565905,31.386953
5,0,0.021077,1.985467,0.387401,0.004422,2.377290,13.876238,15.598036,31.873381
6,0,0.027828,2.723661,0.469627,0.006376,3.199664,12.477676,15.760139,31.466224
7,0,0.024030,2.786116,0.455039,0.007572,3.248727,12.036041,15.749551,31.059085
8,0,0.030159,1.982989,0.352479,0.005071,2.340539,12.867469,15.637289,30.876130
9,0,0.021787,1.973304,0.381435,0.007384,2.362123,13.492338,15.684956,31.561803
10,0,0.022321,2.105924,0.386142,0.008085,2.500151,12.818916,16.575308,31.917187
11,0,0.026850,1.769159,0.356421,0.004300,2.129880,12.631439,16.626665,31.415336
12,0,0.021326,1.975211,0.323050,0.004569,2.302830,12.690257,15.656521,30.671458
13,0,0.025382,2.921699,0.392687,0.007996,3.322382,11.810059,15.545600,30.703831
14,0,0.020382,2.072082,0.592600,0.011356,2.676038,12.979831,15.634339,31.311078
15,0,0.020518,1.541385,0.329171,0.002830,1.873386,13.330752,15.534639,30.759669
16,0,0.019738,1.579989,0.352982,0.002971,1.935942,14.251842,15.586716,31.794730
17,0,0.025292,1.663398,0.371794,0.003128,2.038320,13.476143,15.621967,31.162110
18,0,0.020491,1.702435,0.314024,0.002818,2.019277,13.345747,15.601435,30.987310
19,0,0.018394,1.795948,0.317867,0.002741,2.116556,14.215855,15.619051,31.970324
20,0,0.020389,1.255266,0.364508,0.002594,1.622368,13.430451,15.654516,30.728210
21,0,0.020444,1.394286,0.332815,0.002993,1.730094,14.507829,15.624052,31.883056
22,0,0.019177,1.540403,0.348422,0.003374,1.892199,13.429248,15.805207,31.146832
23,0,0.019434,1.631114,0.321850,0.002891,1.955855,2.118855,12.512073,16.606614
24,0,0.019966,1.635774,0.320365,0.002881,1.959020,13.440758,15.731032,31.151222
25,0,0.023914,2.390306,0.563901,0.005060,2.959267,12.694857,15.734908,31.413561
26,0,0.025734,1.834442,0.453975,0.007073,2.295490,13.840930,15.663334,31.825944
27,0,0.018607,1.658394,0.333942,0.002905,1.995241,13.762660,15.611092,31.388106
28,0,0.021553,1.673297,0.315983,0.002765,1.992045,13.489753,15.639770,31.143604
29,0,0.021943,1.717994,0.365391,0.003059,2.086444,13.513409,15.743569,31.365868
30,0,0.022651,1.859672,0.388493,0.003149,2.251314,13.002572,15.696148,30.973247
31,0,0.022727,1.707809,0.345526,0.002894,2.056229,13.615816,15.638984,31.334172
32,0,0.021886,1.692551,0.372167,0.002935,2.067653,13.249808,16.611389,31.951316
33,0,0.021660,1.611866,0.322461,0.002609,1.936936,12.807090,15.674550,30.440711
34,0,0.025394,1.633502,0.315357,0.002484,1.951343,14.420816,15.605721,32.003788
35,0,0.022342,1.633521,0.329209,0.003172,1.965902,13.481724,15.654789,31.125152
36,0,0.020353,1.706598,0.396747,0.003144,2.106489,13.322842,15.631006,31.081295
37,0,0.021222,1.574533,0.332561,0.002683,1.909777,13.672471,15.612149,31.216122
38,0,0.021074,2.089931,0.317647,0.002974,2.410552,13.354544,15.739739,31.526516
39,0,0.023995,1.662905,0.335572,0.002806,2.001283,13.775013,15.667858,31.468645
40,0,0.020014,1.621377,0.333844,0.002787,1.958008,13.675905,15.434236,31.088684
41,0,0.021251,1.522705,0.319452,0.002766,1.844923,13.518796,16.437188,31.822674
42,0,0.018479,1.479772,0.315163,0.002557,1.797492,13.627530,15.509043,30.953186
43,0,0.018200,1.462872,0.324382,0.002826,1.790080,13.519642,16.589506,31.917952
44,0,0.019892,1.492401,0.330599,0.002731,1.825731,13.433863,15.677656,30.957550
45,0,0.020675,1.404461,0.320237,0.002839,1.727537,12.426735,16.581564,30.756966
46,0,0.017482,1.467434,0.318919,0.002701,1.789054,13.535763,15.573018,30.915759
47,0,0.020649,1.485797,0.321808,0.002614,1.810219,13.712939,15.540914,31.085078
48,0,0.017603,1.488776,0.307692,0.002539,1.799007,13.530957,15.858886,31.206930
49,0,0.032690,1.481897,0.326455,0.002758,1.811110,14.450196,15.633572,31.928135
50,0,0.022410,1.541508,0.306119,0.002668,1.850295,13.408713,15.625761,30.907701
51,0,0.024540,1.775568,0.349101,0.002523,2.127192,13.467135,15.635857,31.255211
52,0,0.019071,1.563304,0.351463,0.002757,1.917524,13.485830,16.361692,31.784524
53,0,0.017954,1.561007,0.339319,0.002920,1.903246,13.756859,15.370484,31.049180
54,0,0.020737,1.537928,0.307054,0.002899,1.847881,13.689674,15.498650,31.057405
55,0,0.019077,1.550059,0.316488,0.002942,1.869489,2.497019,12.542964,16.928994
56,0,0.019099,1.255086,0.326502,0.002848,1.584436,14.238763,15.593850,31.436603
57,0,0.018456,1.438274,0.326827,0.002796,1.767897,14.044910,15.548829,31.380522
58,0,0.018759,1.438958,0.318911,0.002838,1.760707,14.033977,15.536600,31.350621
59,0,0.018419,1.227711,0.345554,0.002943,1.576208,14.046452,15.546773,31.188329
60,0,0.018914,1.691479,0.326186,0.002777,2.020442,13.799594,15.544997,31.384365
61,0,0.018750,1.514227,0.343089,0.002818,1.860134,13.683315,15.730164,31.292982
62,0,0.019439,1.556235,0.320769,0.002697,1.879701,13.219990,16.565757,31.685531
63,0,0.019847,1.515826,0.325481,0.002637,1.843944,13.684051,15.701983,31.250216
64,0,0.017735,1.770996,0.356139,0.002593,2.129728,13.356184,15.038492,30.542544
65,0,0.015535,1.460457,0.319070,0.002625,1.782152,13.927171,16.303746,32.029023
66,0,0.021579,1.508515,0.312551,0.002798,1.823864,13.108350,16.437721,31.392036
67,0,0.021641,1.457455,0.358674,0.002683,1.818812,13.741107,15.445730,31.027764
68,0,0.018229,1.514654,0.325993,0.002825,1.843472,13.792566,15.578763,31.233417
69,0,0.018063,1.557303,0.317932,0.002593,1.877828,14.068974,15.560520,31.525859
70,0,0.018568,1.402913,0.349113,0.003003,1.755029,13.584756,15.520910,30.879759
71,0,0.019301,1.517468,0.330740,0.002802,1.851010,14.463352,15.681645,32.015799
72,0,0.017103,1.398327,0.319825,0.002539,1.720691,13.292331,15.576158,30.606674
73,0,0.019170,1.476724,0.331738,0.002897,1.811359,14.339274,15.549988,31.720222
74,0,0.019315,1.514558,0.309913,0.002800,1.827271,13.396321,16.585550,31.828898
75,0,0.020890,1.523989,0.324272,0.002666,1.850927,13.500652,15.521891,30.894826
76,0,0.021235,1.508633,0.303198,0.002617,1.814448,13.854394,14.966329,30.656921
77,0,0.022335,1.364486,0.346898,0.003262,1.714646,13.869587,15.618083,31.225215
78,0,0.018232,1.552985,0.363852,0.002419,1.919256,13.504414,15.321806,30.764150
79,0,0.018246,1.389148,0.319848,0.002716,1.711712,14.511370,15.507447,31.749270
80,0,0.018622,1.572130,0.318581,0.002546,1.893257,13.635012,15.523189,31.070608
81,0,0.020607,1.481805,0.372379,0.002884,1.857068,13.609588,16.526579,32.014209
82,0,0.019300,1.435073,0.332975,0.002634,1.770682,13.724398,15.613604,31.128477
83,0,0.019732,1.535207,0.323452,0.002878,1.861537,13.473407,15.611398,30.966438
84,0,0.015795,1.434019,0.321867,0.002864,1.758750,14.346213,15.582958,31.704257
85,0,0.019917,1.575587,0.412591,0.004563,1.992741,13.125607,15.611937,30.750630
86,0,0.023357,1.566618,0.336008,0.002782,1.905408,14.394535,16.654081,32.977888
87,0,0.025468,1.523121,0.344538,0.002788,1.870447,13.420103,15.689444,31.006030
88,0,0.035332,1.796462,0.313805,0.003056,2.113323,13.741645,15.657699,31.548423
89,0,0.021821,2.470006,0.359492,0.003402,2.832900,12.773879,15.762388,31.391404
90,0,0.019803,1.825695,0.374644,0.002740,2.203079,12.700321,16.541194,31.464838
91,0,0.020116,2.021695,0.470242,0.004630,2.496567,12.625375,15.598966,30.741498
92,0,0.019224,1.509273,0.326226,0.002766,1.838265,13.482757,16.535055,31.875886
93,0,0.021661,1.557733,0.308414,0.002613,1.868760,13.371969,15.689975,30.952842
94,0,0.046219,1.605711,0.311152,0.002827,1.919690,13.609382,15.616594,31.192469
95,0,0.021538,1.624800,0.328778,0.002779,1.956357,13.413755,15.728497,31.120612
96,0,0.022604,1.672954,0.327343,0.003101,2.003398,14.317705,15.591042,31.935274
97,0,0.025959,1.547481,0.356311,0.002547,1.906339,13.847616,15.562786,31.343074
98,0,0.019394,1.497797,0.327765,0.002902,1.828464,13.388116,15.726451,30.962899
99,0,0.021091,1.553322,0.327567,0.002835,1.883724,13.366683,16.663483,31.935349
100,0,0.020217,1.548341,0.345639,0.003011,1.896991,12.970816,15.831782,30.720241
101,0,0.019975,1.703353,0.333675,0.002898,2.039926,13.634768,15.473929,31.169086
102,0,0.020082,1.635263,0.350485,0.002750,1.988498,13.786509,15.438052,31.233630
103,0,0.019828,1.519172,0.333945,0.003077,1.856194,13.954402,15.500262,31.331209
104,0,0.022476,1.497316,0.338270,0.002525,1.838111,14.584494,15.579273,32.024932
105,0,0.020490,1.348557,0.354699,0.003046,1.706302,13.766277,15.671003,31.164527
106,0,0.028745,2.245879,0.360963,0.003378,2.610220,12.590069,15.602073,30.831975
107,0,0.020986,1.702043,0.357102,0.002744,2.061889,13.351749,16.619989,32.055089
108,0,0.020637,1.512970,0.339795,0.002906,1.855671,12.498454,15.599838,29.975118
109,0,0.021047,1.647651,0.358133,0.002886,2.008670,13.634859,15.731729,31.396859
110,0,0.020619,2.222376,0.396247,0.004370,2.622993,12.814114,15.746598,31.204807
111,0,0.019448,1.740847,0.328785,0.002815,2.072447,13.835568,15.807311,31.735314
112,0,0.028759,1.675129,0.536679,0.003010,2.214818,13.336317,15.691416,31.272046
113,0,0.025108,1.636389,0.344178,0.003099,1.983666,12.926376,16.502931,31.438666
114,0,0.021591,1.610246,0.332405,0.002936,1.945587,12.789662,16.423189,31.180534
115,0,0.019750,1.466266,0.318042,0.002574,1.786882,12.965073,16.548560,31.320759
116,0,0.019141,1.457338,0.343504,0.002811,1.803653,13.423028,15.646996,30.893321
117,0,0.018724,1.561670,0.317749,0.002685,1.882104,13.298342,16.644036,31.843823
118,0,0.021272,1.543445,0.353495,0.002737,1.899677,14.475652,15.586176,31.983200
119,0,0.017953,1.506221,0.337517,0.002839,1.846577,13.565147,15.647072,31.077249
120,0,0.023230,1.558622,0.322043,0.002858,1.883523,13.632006,15.680844,31.220138
121,0,0.022107,1.527201,0.338314,0.002898,1.868413,13.525710,16.627439,32.044033
122,0,0.019678,1.536068,0.386612,0.002780,1.925460,13.545613,15.623692,31.114966
123,0,0.020624,1.531848,0.325314,0.002760,1.859922,13.615534,15.716768,31.213374
124,0,0.019504,1.711710,0.353268,0.003060,2.068038,13.601435,15.662052,31.351506
125,0,0.018904,1.575849,0.328142,0.002952,1.906943,13.548530,15.412212,30.886971
126,0,0.018404,1.524341,0.323353,0.002759,1.850453,13.885225,15.634129,31.388825
127,0,0.021285,1.591950,0.356312,0.002944,1.951206,13.699519,15.646011,31.318544
128,0,0.024701,1.596352,0.317785,0.002762,1.916899,13.779526,15.594305,31.315987
129,0,0.019617,1.470181,0.318499,0.002836,1.791516,13.582398,16.578288,31.972306
130,0,0.018741,1.487942,0.320333,0.002695,1.810970,13.304521,15.587655,30.722503
131,0,0.017943,1.467242,0.324951,0.002882,1.795075,14.428086,15.616301,31.857893
132,0,0.021432,1.509727,0.334574,0.002947,1.847248,13.367544,15.561556,30.798192
133,0,0.019463,1.490635,0.330939,0.002689,1.824263,13.605006,16.620696,32.069933
134,0,0.019251,1.469497,0.332399,0.002773,1.804669,13.462898,15.623589,30.910935
135,0,0.022349,1.557138,0.347422,0.002456,1.907016,13.406495,15.708253,31.044532
136,0,0.020826,1.775678,0.325778,0.002760,2.104216,13.717506,15.570512,31.413475
137,0,0.018133,1.570829,0.455858,0.003027,2.029714,13.754337,15.493152,31.295746
138,0,0.016856,1.595016,0.381316,0.002869,1.979201,13.599407,16.451119,32.047118
139,0,0.020784,1.956382,0.349543,0.003107,2.309032,11.859040,15.450410,29.639737
140,0,0.018668,1.477846,0.320433,0.002914,1.801193,14.034249,15.573421,31.428032
141,0,0.019605,1.560562,0.356945,0.002920,1.920427,13.703312,15.636077,31.279908
142,0,0.019966,1.259013,0.356312,0.003781,1.619106,14.668728,15.584021,31.892218
143,0,0.028834,1.286857,0.321656,0.002953,1.611466,13.686919,15.777191,31.104992
144,0,0.019318,1.538806,0.342457,0.002750,1.884013,13.379268,15.652223,30.935345
145,0,0.023534,1.546052,0.339443,0.002584,1.888079,13.761051,15.598543,31.271715
146,0,0.019007,1.570751,0.327121,0.002621,1.900493,14.598975,15.636410,32.155380
147,0,0.020158,1.580698,0.331996,0.002698,1.915392,13.646438,15.773674,31.356182
148,0,0.022628,1.691454,0.493289,0.002927,2.187670,13.277311,15.593239,31.081237
149,0,0.018702,1.804046,0.406409,0.003290,2.213745,14.316254,15.684793,32.233970
150,0,0.021326,1.629513,0.374735,0.003089,2.007337,13.047043,16.594244,31.670348
151,0,0.023376,1.549160,0.357848,0.002877,1.909885,13.395996,15.436976,30.766701
152,0,0.020184,1.443168,0.325570,0.002935,1.771673,13.710425,15.500673,31.003476
153,0,0.019641,1.521511,0.312545,0.002987,1.837043,14.519652,15.589048,31.965797
154,0,0.021164,1.229972,0.320907,0.002539,1.553418,13.949499,15.564125,31.088626
155,0,0.019515,1.468011,0.317441,0.002766,1.788218,13.505230,15.571150,30.884545
156,0,0.019708,1.566054,0.328406,0.002981,1.897441,13.757981,16.596628,32.272166
157,0,0.017281,1.547246,0.335245,0.002580,1.885071,13.160581,15.527627,30.591066
158,0,0.018678,1.473006,0.342152,0.002891,1.818049,14.433867,15.569868,31.840954
159,0,0.020146,1.248010,0.304404,0.002641,1.555055,13.716993,15.758501,31.051070
160,0,0.020710,1.605708,0.311765,0.002960,1.920433,13.668756,15.577981,31.188313
161,0,0.016088,1.597365,0.320068,0.002873,1.920306,13.426066,16.348049,31.711212
162,0,0.024192,2.149352,0.344441,0.002972,2.496765,12.528426,16.589214,31.639064
163,0,0.023428,1.534387,0.384152,0.003025,1.921564,12.738226,16.583898,31.267581
164,0,0.021013,1.569191,0.317800,0.002798,1.889789,12.933473,16.573021,31.417904
165,0,0.017466,1.589564,0.372860,0.002921,1.965345,13.349965,15.616518,30.949967
166,0,0.019255,1.433227,0.328957,0.002742,1.764926,13.528310,15.570634,30.883656
167,0,0.021558,1.498751,0.314411,0.002725,1.815887,14.485629,15.631888,31.955404
168,0,0.017720,1.420315,0.307330,0.002709,1.730354,13.660829,15.573978,30.983289
169,0,0.021431,1.335229,0.298242,0.002847,1.636318,13.731193,16.586237,31.975643
170,0,0.018917,1.509918,0.326386,0.002776,1.839080,13.562050,14.530320,29.950818
171,0,0.023291,1.551282,0.419485,0.003254,1.974021,13.990436,15.596613,31.584747
172,0,0.017056,1.493536,0.319610,0.002633,1.815779,13.675050,15.742168,31.250540
173,0,0.023880,1.572890,0.380513,0.002896,1.956299,12.964009,16.564814,31.509643
174,0,0.017639,1.542677,0.360021,0.002974,1.905672,13.401361,15.360144,30.685494
175,0,0.018349,1.505131,0.329358,0.002844,1.837333,13.665890,16.490113,32.012163
176,0,0.020386,1.511430,0.302422,0.002732,1.816584,13.670705,15.518956,31.027036
177,0,0.021807,1.482269,0.328842,0.002781,1.813892,13.705430,15.546215,31.087730
178,0,0.018985,1.482511,0.302662,0.002567,1.787740,13.705442,15.569921,31.082497
179,0,0.018362,1.389792,0.332743,0.002716,1.725251,13.930057,15.547474,31.222407
180,0,0.019477,1.473619,0.355891,0.002744,1.832254,13.815016,1.598287,17.265585
181,0,0.007944,1.496622,0.322152,0.002761,1.821535,13.256801,15.566142,30.652780
182,0,0.018998,1.262099,0.294179,0.002798,1.559076,14.694605,15.656438,31.929639
183,0,0.021569,1.532549,0.324649,0.002543,1.859741,13.438940,15.626644,30.947377
184,0,0.020339,1.666538,0.314830,0.002752,1.984120,13.688319,15.650513,31.343753
185,0,0.017739,1.506219,0.346689,0.002808,1.855716,14.115756,15.427693,31.417328
186,0,0.020435,1.582329,0.366788,0.002827,1.951944,14.171056,15.417831,31.561687
187,0,0.019768,1.741436,0.369592,0.002760,2.113788,13.670647,15.664998,31.469692
188,0,0.016193,1.312187,0.303391,0.002602,1.618180,13.944584,15.584168,31.163494
189,0,0.017558,1.444688,0.317938,0.002922,1.765548,13.364242,16.594343,31.742164
190,0,0.020210,1.507283,0.319382,0.002794,1.829459,13.737926,15.512187,31.100320
191,0,0.019467,1.481217,0.328006,0.002649,1.811872,13.874043,15.544545,31.250381
192,0,0.020078,1.215856,0.310074,0.002522,1.528452,13.990570,15.544461,31.084106
193,0,0.020016,1.231594,0.291642,0.002671,1.525907,14.625617,15.562861,31.734769
194,0,0.018416,1.447194,0.322784,0.002677,1.772655,13.381816,15.543740,30.716998
195,0,0.019445,1.423103,0.323190,0.002911,1.749204,14.612179,15.616787,31.998084
196,0,0.018087,1.449140,0.302808,0.002665,1.754613,13.783451,15.626952,31.183588
197,0,0.019818,1.690598,0.313023,0.002597,2.006218,13.598519,15.542212,31.167148
198,0,0.014529,1.461808,0.354817,0.002875,1.819500,14.143141,15.532728,31.510360
199,0,0.017539,1.704491,0.317837,0.003004,2.025332,13.183813,16.336159,31.563465
