metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,4872,101.209181,0.020774,0.006680,1.130729
ants_advance,4872,7184.520030,1.474655,0.936175,4.015827
evaporation,4872,1723.166882,0.353688,0.280100,1.226860
update,4872,17.578908,0.003608,0.002290,0.069832
advance_total,4872,8925.265820,1.831951,1.234666,4.480462
render,4872,96735.837220,19.855467,2.118855,62.491365
blit,4872,62365.890430,12.800881,0.229742,16.955087
iteration_total,4872,168130.692744,34.509584,15.496029,80.267808

meta_key,meta_value
total_iterations,4872
measured_iterations,4872
final_food_quantity,1392
first_food_iteration,2585
