iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms
1,0,1.034443,1.625861,0.421874,0.006683,2.054418,61.260644,15.181984,79.531888
2,0,0.026608,1.443367,0.255449,0.027014,1.725830,14.757715,15.932453,32.443130
3,0,0.029731,1.204648,0.117782,0.007204,1.329634,13.819607,15.828949,31.008233
4,0,0.021527,1.027577,0.090782,0.007601,1.125960,14.950248,15.668674,31.766810
5,0,0.024347,1.535444,0.161615,0.026839,1.723898,13.604868,15.656847,31.010260
6,0,0.024344,1.330711,0.137101,0.007305,1.475117,14.439401,15.698831,31.638110
7,0,0.021217,1.468243,0.162365,0.008007,1.638615,14.916051,15.666260,32.242569
8,0,0.024940,1.703095,0.128559,0.006945,1.838599,13.169274,16.695607,31.728702
9,0,0.025156,1.836848,0.147711,0.008165,1.992724,12.735397,16.712258,31.465981
10,0,0.026280,1.526946,0.116055,0.006065,1.649066,13.837696,15.673584,31.186945
11,0,0.022684,1.472559,0.373888,0.007450,1.853897,14.077098,15.678741,31.632749
12,0,0.027837,1.616263,0.297070,0.006567,1.919900,13.443568,15.728744,31.120468
13,0,0.030712,1.551336,0.246273,0.037876,1.835485,14.332670,15.890346,32.089775
14,0,0.027474,1.553008,0.171543,0.006734,1.731285,14.077721,15.778685,31.615540
15,0,0.024757,1.121784,0.101759,0.007589,1.231132,13.861964,16.704975,31.823110
16,0,0.025628,1.088383,0.239284,0.006888,1.334555,13.823158,15.696168,30.879852
17,0,0.023762,1.316001,0.096863,0.007256,1.420120,14.895241,15.666193,32.005673
18,0,0.020298,1.231168,0.115399,0.006579,1.353146,13.773187,16.545024,31.691941
19,0,0.020014,1.052579,0.148357,0.007160,1.208096,14.658379,15.636238,31.523132
20,0,0.023517,1.081168,0.085674,0.006758,1.173600,14.485619,15.630366,31.313440
21,0,0.020333,1.132323,0.103138,0.062375,1.297836,2.326059,12.562089,16.206568
22,0,0.023026,1.049352,0.147704,0.007619,1.204675,15.414938,15.726286,32.369180
23,0,0.023479,1.417983,0.126894,0.007446,1.552323,13.491577,15.731586,30.799356
24,0,0.021344,1.409874,0.119290,0.008133,1.537297,14.678251,15.714724,31.951989
25,0,0.026729,1.878790,0.119198,0.008171,2.006159,13.310546,16.623808,31.967682
26,0,0.026077,1.189736,0.108121,0.006829,1.304686,14.244321,15.765552,31.341074
27,0,0.029433,1.212316,0.127340,0.007501,1.347157,13.884879,15.639318,30.901096
28,0,0.021401,1.105795,0.126596,0.008159,1.240550,15.090777,14.690068,31.043253
29,0,0.019536,1.037119,0.098049,0.007744,1.142912,14.072163,16.646098,31.881046
30,0,0.022934,1.071688,0.094313,0.006573,1.172574,14.200284,15.648538,31.044752
31,0,0.023098,1.191547,0.126793,0.009142,1.327482,14.423743,15.688031,31.462825
32,0,0.022140,1.169467,0.128313,0.008126,1.305906,14.033845,16.662855,32.025137
33,0,0.022638,0.985122,0.091507,0.007539,1.084168,13.841601,16.652000,31.600869
34,0,0.021770,1.042809,0.126070,0.006976,1.175855,13.997042,15.615513,30.810600
35,0,0.020383,1.040102,0.194132,0.007509,1.241743,14.656914,15.586784,31.506154
36,0,0.020782,1.123399,0.105085,0.007885,1.236369,14.490076,16.637336,32.385044
