metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,1673,47.076049,0.028139,0.007361,1.335443
ants_advance,1673,2045.003813,1.222357,0.792627,16.454806
evaporation,1673,201.528452,0.120459,0.073507,1.999632
update,1673,12.791399,0.007646,0.005313,0.130456
advance_total,1673,2259.323664,1.350462,0.903590,16.625272
render,1673,24134.800366,14.426061,2.283947,61.260644
blit,1673,26322.456997,15.733686,0.341076,17.713014
iteration_total,1673,52764.296650,31.538731,15.899293,79.531888

meta_key,meta_value
total_iterations,1673
measured_iterations,1673
final_food_quantity,0
first_food_iteration,not_reached
