iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms
1,0,0.708243,42.270229,0.176468,0.009574,42.456271,72.335785,15.880189,131.381385
2,0,0.022112,32.978791,0.336802,0.007197,33.322790,26.395734,15.596652,75.337976
3,0,0.024689,33.250152,0.361245,0.008121,33.619518,28.972763,12.625895,75.243618
4,0,0.019838,34.397478,0.273536,0.008803,34.679817,27.952793,11.727088,74.380449
5,0,0.114780,34.924041,0.257889,0.007313,35.189243,26.724066,12.884132,74.912944
6,0,0.023389,32.309415,0.368427,0.007530,32.685372,25.973504,0.779425,59.462422
7,0,0.008566,29.764453,0.273230,0.008477,30.046160,25.962576,4.766085,60.783939
8,0,0.023918,32.500734,0.301777,0.007912,32.810423,27.027731,15.967837,75.830673
9,0,0.021674,34.216986,0.334715,0.007614,34.559315,26.223297,13.736905,74.541919
10,0,0.022964,37.170416,0.253811,0.007912,37.432139,34.316665,2.844377,74.616839
11,0,0.015653,33.020685,0.213683,0.007496,33.241864,27.450950,15.724773,76.434031
12,0,0.039678,34.010442,0.211173,0.007412,34.229027,26.211321,15.730305,76.210976
13,0,0.021513,28.076157,0.222363,0.008968,28.307488,25.121086,5.982849,59.433493
14,0,0.021218,29.615058,0.305245,0.008105,29.928408,26.362045,3.748296,60.060565
15,0,0.020730,32.706913,0.247064,0.007994,32.961971,24.925009,1.803063,59.711452
16,0,0.012909,27.623969,0.216938,0.008235,27.849142,26.675217,5.797316,60.335326
17,0,0.028932,31.566372,0.227253,0.006819,31.800444,25.060884,3.614061,60.504985
18,0,0.017379,31.673778,0.258280,0.008059,31.940117,27.133253,0.661444,59.752830
19,0,0.007775,33.002218,0.198822,0.008050,33.209090,23.878111,1.621754,58.717375
20,0,0.012453,30.149940,0.225048,0.008136,30.383124,23.257410,6.710663,60.364201
21,0,0.016447,32.378010,0.215065,0.007691,32.600766,27.322826,15.739599,75.680120
22,0,0.019630,27.675629,0.218204,0.007724,27.901557,24.085524,7.632389,59.640000
23,0,0.024813,28.658275,0.187690,0.007546,28.853511,26.053788,4.848073,59.780657
24,0,0.016055,29.802068,0.260069,0.008203,30.070340,24.527320,5.730375,60.344967
25,0,0.021153,28.690435,0.212359,0.006389,28.909183,26.495373,4.877255,60.303498
26,0,0.016961,33.963591,0.205073,0.008606,34.177270,22.589109,2.969272,59.753299
27,0,0.011797,26.973564,0.230734,0.007807,27.212105,24.725569,9.637008,61.586984
28,0,0.021156,34.246338,0.219524,0.006990,34.472852,24.882814,16.040936,75.418371
29,0,0.022806,28.909634,0.203114,0.006683,29.119431,26.908556,2.830344,58.881644
30,0,0.019228,31.183160,0.311805,0.008456,31.503421,26.461111,1.941644,59.926437
31,0,0.010204,39.893251,0.410876,0.007362,40.311489,25.362475,10.724260,76.409121
32,0,0.020789,30.431928,0.218419,0.008045,30.658392,25.609033,2.794896,59.083696
33,0,0.018535,29.109667,0.341967,0.008360,29.459994,26.614799,4.722622,60.816612
34,0,0.018509,32.104861,0.211658,0.008133,32.324652,25.917459,15.896415,74.157749
35,0,0.020460,31.073838,0.232222,0.007294,31.313354,22.982778,4.820863,59.138010
36,0,0.020789,29.465962,0.199526,0.012064,29.677552,24.984538,5.661029,60.344474
37,0,0.021143,27.984701,0.191028,0.008465,28.184194,24.079370,7.815036,60.100605
38,0,0.031280,27.620654,0.197646,0.007862,27.826162,25.613292,6.832915,60.304265
39,0,0.020764,30.934088,0.529561,0.009691,31.473340,23.289953,4.851542,59.636218
40,0,0.019911,29.142108,0.288917,0.006644,29.437669,24.015301,6.694731,60.168242
41,0,0.018743,30.866897,0.261494,0.007062,31.135453,24.445403,4.758018,60.358363
42,0,0.016049,32.439711,0.305850,0.008136,32.753697,30.223871,13.769153,76.763341
43,0,0.019836,30.239183,0.225860,0.007658,30.472701,25.389263,3.648963,59.531537
44,0,0.022466,30.182973,0.350224,0.007501,30.540698,27.416200,1.614514,59.594391
45,0,0.016832,33.289727,0.273796,0.007836,33.571359,25.809083,0.575555,59.973403
46,0,0.008124,31.237053,0.224544,0.007847,31.469444,25.894312,2.851820,60.224408
47,0,0.013999,32.249123,0.245046,0.008288,32.502457,21.769287,5.609571,59.895911
48,0,0.017336,28.767931,0.243909,0.006998,29.018838,28.341783,3.042270,60.421058
49,0,0.017726,36.204842,0.354304,0.008653,36.567799,28.502894,8.947985,74.037185
50,0,0.024085,34.158175,0.284955,0.007514,34.450644,26.265366,15.085418,75.826249
51,0,0.020271,32.582965,0.220447,0.007354,32.810766,27.625914,14.678264,75.135803
52,0,0.019845,30.277684,0.367794,0.008680,30.654158,23.229522,5.898413,59.802457
53,0,0.023078,28.912138,0.227387,0.008018,29.147543,29.211884,0.708046,59.091062
54,0,0.008069,35.964125,0.232571,0.007371,36.204067,29.168990,10.932229,76.313956
55,0,0.018851,37.231719,0.244883,0.007928,37.484530,29.345144,7.804875,74.654101
