metric,count,total_ms,mean_ms,min_ms,max_ms
event_poll,817,13.810256,0.016904,0.006077,0.603780
ants_advance,817,23332.796694,28.559115,23.062573,41.426324
evaporation,817,216.498926,0.264993,0.097705,1.396731
update,817,6.324964,0.007742,0.005035,0.199927
advance_total,817,23555.620584,28.831849,23.371962,41.616135
render,817,28824.800305,35.281273,20.611354,74.948636
blit,817,6617.207060,8.099397,0.425635,16.834860
iteration_total,817,59011.836126,72.229910,58.150467,120.948283

meta_key,meta_value
total_iterations,817
measured_iterations,817
final_food_quantity,48
first_food_iteration,807
